Algorithm : Kruskal's MST
MST edges:
28524 44385 -10
56038 70066 -10
511 85326 -10
45543 56323 -10
66407 86634 -10
33438 38730 -10
33431 59598 -10
23866 39449 -10
23866 35244 -10
5345 33539 -10
18102 92250 -10
5344 10210 -10
14914 64128 -10
18101 95720 -10
14921 46170 -10
11062 11338 -10
40575 50630 -10
66382 94406 -10
5337 66406 -10
5336 77656 -10
83933 85912 -10
23862 73668 -10
83936 96736 -10
28496 36959 -10
40685 72639 -10
66369 75018 -10
2813 6747 -10
18097 29829 -10
33403 95495 -10
14822 44917 -10
55653 73145 -10
18174 40093 -10
18173 54476 -10
66691 85727 -10
83477 99673 -10
28376 81991 -10
55660 87882 -10
40528 51843 -10
33601 71207 -10
66671 96543 -10
40529 92678 -10
14822 28327 -10
83494 88987 -10
28372 63871 -10
40532 90012 -10
28387 49525 -10
11126 14133 -10
14823 18791 -10
11124 87042 -10
2756 15053 -10
14826 92333 -10
66652 72574 -10
55694 82050 -10
2759 25220 -10
55703 56517 -10
5408 96132 -10
55706 56029 -10
11142 52368 -10
55599 97838 -10
2738 52871 -10
55600 94951 -10
33647 35273 -10
33641 82781 -10
33639 92345 -10
55616 91654 -10
55618 63828 -10
21491 34623 -10
45728 73289 -10
551 63927 -10
14795 32217 -10
66715 86500 -10
5406 76325 -10
45724 69730 -10
23968 48484 -10
45718 53321 -10
33632 70579 -10
2744 4444 -10
33632 46044 -10
55639 74589 -10
549 1892 -10
5432 8931 -10
8895 32258 -10
66704 71067 -10
28372 95572 -10
548 58468 -10
66531 72951 -10
66557 97540 -10
8921 54109 -10
28427 43720 -10
11111 58003 -10
45650 55804 -10
2770 64556 -10
83605 87204 -10
5391 9220 -10
55773 80072 -10
14861 78944 -10
83612 89129 -10
21524 62731 -10
66538 82937 -10
11112 46007 -10
11105 98262 -10
66530 98893 -10
5387 12751 -10
5384 99311 -10
83632 88569 -10
45635 54885 -10
23910 96382 -10
18132 85875 -10
21533 69736 -10
45626 46156 -10
5380 5383 -10
33492 42270 -10
66497 84252 -10
21517 41524 -10
11117 36653 -10
5405 55430 -10
18154 65018 -10
28409 73503 -10
55722 83890 -10
5404 7104 -10
11116 38132 -10
66596 90045 -10
14843 67362 -10
55725 64517 -10
23931 47105 -10
2765 70139 -10
40554 64587 -10
84054 95552 -10
33556 85632 -10
66580 88762 -10
21517 72644 -10
23928 67143 -10
33551 60353 -10
536 2128 -10
66575 95777 -10
45658 52382 -10
5395 39330 -10
23924 85366 -10
